"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.目前您大部分时间从事哪方面的工作？:开发","1.目前您大部分时间从事哪方面的工作？:测试","1.目前您大部分时间从事哪方面的工作？:产品经理","1.目前您大部分时间从事哪方面的工作？:数据分析","1.目前您大部分时间从事哪方面的工作？:后台运维","1.目前您大部分时间从事哪方面的工作？:其他","2.您的⼯程经验⼤约多⻓时间？","3.对比软件官方的修改记录（如图下方所示），您觉得以下我们提供的异常应用问题的描述是否可以接收？其中高亮的文字为异常应用问题的描述。检测效果如下：[图片][图片]软件官方的修改记录v11.17：* 自动播放下一个推荐的视屏","4.我们有两套模型A和B：A模型较为简单，每秒能处理200条评论，在实验环境达到了60%左右的问题检测准确度和召回率；B模型比较复杂，每秒能处理125条评论，在实验环境达到了80%左右的问题检测准确度和召回率；你更倾向于选择哪种模型：","5.您愿意使⽤或者推荐开发者在企业环境中尝试使⽤这样的⼯具吗？",
"44","13-Apr-2020 17:27:32","13-Apr-2020 17:28:07","35","中国","上海市","上海市","","","","","","","F.其他","A.少于1年","A.可以接受，能够提供有用信息","C.都可以接受","C.没有，不如人工来的准确",
"43","13-Apr-2020 17:16:40","13-Apr-2020 17:18:57","137","中国","江西省","","","","","","","","F.其他","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"42","13-Apr-2020 17:02:55","13-Apr-2020 17:03:19","24","中国","上海市","上海市","","","B.测试","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"41","13-Apr-2020 16:57:59","13-Apr-2020 16:58:53","54","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"40","13-Apr-2020 16:50:35","13-Apr-2020 16:55:43","308","中国","上海市","上海市","","","","C.产品经理","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","C.都可以接受","B.可能会，可能会有一定帮助",
"39","13-Apr-2020 16:46:37","13-Apr-2020 16:49:07","150","中国","上海市","上海市","","","B.测试","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"38","13-Apr-2020 16:44:28","13-Apr-2020 16:45:55","87","中国","上海市","上海市","","","","","D.数据分析","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"37","13-Apr-2020 16:44:39","13-Apr-2020 16:45:07","28","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","C.都可以接受","B.可能会，可能会有一定帮助",
"36","13-Apr-2020 16:43:26","13-Apr-2020 16:44:32","66","中国","上海市","上海市","","","","","","","F.其他","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"35","13-Apr-2020 15:58:29","13-Apr-2020 15:59:06","37","中国","上海市","上海市","","A.开发","B.测试","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","A.A模型","B.可能会，可能会有一定帮助",
"34","13-Apr-2020 15:51:33","13-Apr-2020 15:52:17","44","中国","上海市","上海市","","","","","D.数据分析","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"33","13-Apr-2020 15:48:03","13-Apr-2020 15:49:36","93","中国","上海市","上海市","","","B.测试","","","","","B.1~3年","A.可以接受，能够提供有用信息","C.都可以接受","B.可能会，可能会有一定帮助",
"32","13-Apr-2020 15:41:38","13-Apr-2020 15:44:45","187","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"31","13-Apr-2020 15:26:45","13-Apr-2020 15:27:53","68","中国","上海市","上海市","","A.开发","","","","","","D.5年以上","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"30","13-Apr-2020 15:09:38","13-Apr-2020 15:11:47","129","中国","上海市","上海市","","","B.测试","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"29","13-Apr-2020 14:57:30","13-Apr-2020 14:59:47","137","中国","浙江省","","","A.开发","","","D.数据分析","","","C.3~5年","A.可以接受，能够提供有用信息","B.B模型","A.十分愿意，能够减少人力分析的投入",
"28","13-Apr-2020 14:49:14","13-Apr-2020 14:49:36","22","中国","上海市","上海市","","","","","","","F.其他","B.1~3年","A.可以接受，能够提供有用信息","A.A模型","A.十分愿意，能够减少人力分析的投入",
"27","13-Apr-2020 14:35:27","13-Apr-2020 14:36:12","45","美国","","","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","B.B模型","B.可能会，可能会有一定帮助",
"26","13-Apr-2020 14:34:38","13-Apr-2020 14:35:42","64","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","C.都可以接受","A.十分愿意，能够减少人力分析的投入",
"25","13-Apr-2020 14:33:18","13-Apr-2020 14:33:51","33","中国","北京市","北京市","","","","","","","F.其他","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"24","13-Apr-2020 14:29:59","13-Apr-2020 14:31:16","77","中国","浙江省","宁波市","","","","","D.数据分析","","","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"23","13-Apr-2020 14:23:32","13-Apr-2020 14:24:24","52","中国","上海市","上海市","","A.开发","","","","","","D.5年以上","B.一定程度上可以接受，能够反应一些问题","C.都可以接受","B.可能会，可能会有一定帮助",
"22","13-Apr-2020 14:15:00","13-Apr-2020 14:15:37","37","中国","上海市","上海市","","","","","","","F.其他","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"21","13-Apr-2020 14:14:55","13-Apr-2020 14:15:37","42","中国","陕西省","西安市","","","","","D.数据分析","","","B.1~3年","A.可以接受，能够提供有用信息","A.A模型","A.十分愿意，能够减少人力分析的投入",
"20","13-Apr-2020 14:12:06","13-Apr-2020 14:12:55","49","中国","四川省","成都市","","","","C.产品经理","","","","B.1~3年","A.可以接受，能够提供有用信息","A.A模型","B.可能会，可能会有一定帮助",
"19","13-Apr-2020 14:11:18","13-Apr-2020 14:12:53","95","中国","上海市","上海市","","","","","","","F.其他","C.3~5年","B.一定程度上可以接受，能够反应一些问题","A.A模型","B.可能会，可能会有一定帮助",
"18","13-Apr-2020 14:03:36","13-Apr-2020 14:05:43","127","中国","浙江省","杭州市","","A.开发","","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"17","13-Apr-2020 13:45:24","13-Apr-2020 13:47:20","116","中国","香港","","","","","","","","F.其他","C.3~5年","B.一定程度上可以接受，能够反应一些问题","C.都可以接受","A.十分愿意，能够减少人力分析的投入",
"16","13-Apr-2020 13:36:14","13-Apr-2020 13:37:57","103","中国","上海市","上海市","","A.开发","","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","A.A模型","B.可能会，可能会有一定帮助",
"15","13-Apr-2020 13:32:30","13-Apr-2020 13:34:58","148","中国","香港","","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","B.B模型","B.可能会，可能会有一定帮助",
"14","13-Apr-2020 13:30:03","13-Apr-2020 13:30:34","31","中国","香港","","","","","","","","F.其他","B.1~3年","A.可以接受，能够提供有用信息","A.A模型","A.十分愿意，能够减少人力分析的投入",
"13","13-Apr-2020 13:24:45","13-Apr-2020 13:27:37","172","中国","浙江省","","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","B.B模型","B.可能会，可能会有一定帮助",
"12","13-Apr-2020 13:22:57","13-Apr-2020 13:26:48","231","中国","广东省","深圳市","","","","","D.数据分析","","","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"11","13-Apr-2020 13:22:32","13-Apr-2020 13:24:29","117","中国","广东省","深圳市","","","","","","","F.其他","A.少于1年","A.可以接受，能够提供有用信息","B.B模型","A.十分愿意，能够减少人力分析的投入",
"10","13-Apr-2020 13:23:16","13-Apr-2020 13:24:10","54","中国","广东省","","","","","","D.数据分析","","","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"9","13-Apr-2020 13:18:55","13-Apr-2020 13:20:12","77","中国","浙江省","杭州市","","","","","D.数据分析","","","A.少于1年","A.可以接受，能够提供有用信息","B.B模型","B.可能会，可能会有一定帮助",
"8","13-Apr-2020 13:18:06","13-Apr-2020 13:19:08","62","中国","香港","","","","","","D.数据分析","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"7","13-Apr-2020 13:13:19","13-Apr-2020 13:16:56","217","中国","上海市","上海市","","A.开发","","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","A.A模型","B.可能会，可能会有一定帮助",
"6","13-Apr-2020 13:01:36","13-Apr-2020 13:03:22","106","中国","上海市","上海市","","","B.测试","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","C.没有，不如人工来的准确",
"5","13-Apr-2020 12:50:37","13-Apr-2020 12:52:28","111","中国","浙江省","杭州市","","A.开发","","","","","","D.5年以上","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"4","13-Apr-2020 12:45:15","13-Apr-2020 12:46:38","83","中国","浙江省","","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","B.B模型","B.可能会，可能会有一定帮助",
"3","13-Apr-2020 12:37:31","13-Apr-2020 12:39:02","91","中国","浙江省","杭州市","","A.开发","","","","","","D.5年以上","B.一定程度上可以接受，能够反应一些问题","A.A模型","A.十分愿意，能够减少人力分析的投入",
"2","13-Apr-2020 12:33:44","13-Apr-2020 12:36:02","138","中国","上海市","上海市","","A.开发","","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"1","12-Apr-2020 11:13:03","12-Apr-2020 11:14:34","91","中国","广东省","深圳市","","A.开发","","","","","","A.少于1年","A.可以接受，能够提供有用信息","","A.十分愿意，能够减少人力分析的投入",
